,id,title,price,available_quantity,city,state,seller,Brand
17,MLA1110353550,"Repetidor, Range Extender Xiaomi Mi Wi-fi Range Extender Pro R03 Negro 100v/240v",13549.0,1,Bahía Blanca,Buenos Aires,CELLPHONEFREE,XIAOMI
18,MLA900454599, Xiaomi Mi Tv Stick Mdz-24-aa De Voz Full Hd 8gb Ram 1gb,31756.0,1,Monte Castro,Capital Federal,GAUSS ONLINE,XIAOMI
19,MLA1121142331,Tv Box Xiaomi Mi Box S 4k Ultra Hd ,55907.5,1,Rosario,Santa Fe,ROSARIO EXCLUSIVOS,XIAOMI
20,MLA1182481253,Xiaomi Mi Tv Stick 4k Android Chromecast Amazon Netflix Hdmi,75031.96,1,San Nicolas,Capital Federal,FEFOTEC,XIAOMI
21,MLA884822620, Xiaomi Mi Tv Stick De Voz Full Hd 8gb Negro Android Gtia,35499.0,1,Rosario,Santa Fe,WORLDTECHROSARIOWEB,XIAOMI
22,MLA1370762411,Xiaomi Mi Box S Control De Voz 4k 8gb 2gb De Memoria Ram,64990.0,1,San Justo,Buenos Aires,SANJUSTOCENTROCOMPUTACION,XIAOMI
23,MLA1163794492,Xiaomi Mi Stick Tv 4k Uhd Android Chromecast+ Control Remoto,77910.03,200,Recoleta,Capital Federal,TRES MARES,XIAOMI
24,MLA1160117408,Convertidor Smart Xiaomi Mi Tv Stick Amazon Disney Netflix,42889.0,1,Córdoba,Córdoba,SOLUCIONES TECNOCBA,XIAOMI
25,MLA1366601713,Xiaomi Mi Box S Mdz-22-ab Control De Voz 4k 8gb 2gb Ram,54998.0,1,Lanus Este,Buenos Aires,AMOBLAMIENTOS 2001,XIAOMI
26,MLA1182507121,Xiaomi Mi Tv Stick 4k Android Chromecast Amazon Netflix Hdmi,53979.83,1,San Nicolas,Capital Federal,FEFOTEC,XIAOMI
27,MLA873141712,Xiaomi Mi Tv Stick Full Hd Android Chromecast Netflix Amazon,39999.0,500,Paternal,Capital Federal,BAZA 10,XIAOMI
28,MLA907109073,Xiaomi Mi Tv Box S 4k Android Tv 8gb 2gb Ram _ap,50830.0,1,Rosario,Santa Fe,STOCKAUDIOARTE,XIAOMI
29,MLA1124556559,Xiaomi Mi Tv Stick Full Hd Chromecast Android Amazon Netflix,45113.12,1,Balvanera,Capital Federal,ALNI SHOP,XIAOMI
30,MLA1220098794,Tv Stick Xiaomi Mi Full Hd Chromecast Smart Netflix Disney ,36999.0,1,Ituzaingó,Buenos Aires,EC-ELECTRONICA,XIAOMI
31,MLA1104393417, Xiaomi Mi Tv Stick Full Hd 8gb Negro Con 1gb De Ram,42600.0,1,Palermo,Capital Federal,LIBRERIA TEOREMA,XIAOMI
32,MLA1180034732,Convertidor Smart Tv Android Xiaomi Mi Tv Stick Chromecast  ,59363.12,1,Balvanera,Capital Federal,ALNI SHOP,XIAOMI
33,MLA898102021,Xiaomi Mi Stick Tv Fhd Android Chromecast + Control Remoto,63300.54,500,Recoleta,Capital Federal,TRES MARES,XIAOMI
34,MLA924342731,Xiaomi Mi Tv Stick De Voz Full Hd 8gb Con 1gb De Memoria Ram,38589.0,1,Rosario,Santa Fe,ROSARIOALCOSTOSRL,XIAOMI
35,MLA1366926023,Xiaomi Mi Tv Stick Control De Voz Full Hd 8gb,33999.0,1,Monserrat,Capital Federal,DEPOT MONSERRAT,XIAOMI
36,MLA928777970,Mi Tv Xiaomi Stick Mdz-24-aa Full Hd 8gb  1gb Ram,34700.0,1,Mataderos,Capital Federal,ROYAL2002,XIAOMI
37,MLA1173627771,Tv Stick Xiaomi Hdmi 1080p Andorid Tv Google Netflix Voz Cts,53190.0,1,Córdoba,Córdoba,ARMANETSTORE,XIAOMI
38,MLA898101986,Xiaomi Mi Stick Tv Fhd Android Chromecast + Control Remoto,42684.97,500,Recoleta,Capital Federal,TRES MARES,XIAOMI
